bits_p,bits_q,bits_N,N,p_true,q_true,delta,delta_bits,gap,rel_gap,status,p_found,q_found,duration_s,iterations,iter_expected_exact,iter_expected_approx,b,a0,a_target
48,48,96,55343681132013302892807149641,235218020297633,235286739774377,68719476736,36,68719476744,0.0002921095950929154,FOUND,235218020297633,235286739774377,0.7344180999934906,2509202,2509202,2509202.2890727003,34359738372,235252377526803,235252380036005
48,48,95,33339487051443540209159154157,182556681202943,182625400679699,68719476736,36,68719476756,0.0003763573372409012,FOUND,182556681202943,182625400679699,1.0211546999926213,3232884,3232884,3232884.8538193367,34359738378,182591037708437,182591040941321
48,48,96,55438008018956444517736204963,235418415143449,235487134620187,68719476736,36,68719476738,0.0002918609793586322,FOUND,235418415143449,235487134620187,0.9787273999972967,2507066,2507066,2507066.6960257976,34359738369,235452772374752,235452774881818
48,48,96,44013216087043508454820723373,209758912955569,209827632432317,68719476736,36,68719476748,0.00032755806126301445,FOUND,209758912955569,209827632432317,1.0548458999983268,2813702,2813702,2813702.2840861888,34359738374,209793269880241,209793272693943
48,48,96,62272301823959822985826369547,249509830746101,249578550222847,68719476736,36,68719476746,0.00027537999287419136,FOUND,249509830746101,249578550222847,0.7554228999943007,2365496,2365496,2365496.1046557846,34359738373,249544188118978,249544190484474
48,48,95,34396531338866750536162070663,185428662234883,185497381711661,68719476736,36,68719476778,0.00037052926899483105,FOUND,185428662234883,185497381711661,1.0951959999947576,3182822,3182822,3182822.1324104737,34359738389,185463018790450,185463021973272
48,48,95,34213684064055348811803954911,184935057313819,185003776790669,68719476736,36,68719476850,0.0003715180548805094,FOUND,184935057313819,185003776790669,1.097081400002935,3191315,3191315,3191315.7414043406,34359738425,184969413860929,184969417052244
48,48,95,20409040461796064814723974801,142825857405449,142894576882249,68719476736,36,68719476800,0.0004810259998302787,FOUND,142825857405449,142894576882249,1.3361548999964725,4131981,4131981,4131981.759931359,34359738400,142860213011868,142860217143849
48,48,96,40243783209992350003647518771,200574175450393,200642894927147,68719476736,36,68719476754,0.0003425551046335748,FOUND,200574175450393,200642894927147,0.9627842000045348,2942525,2942525,2942525.900567903,34359738377,200608532246245,200608535188770
48,48,96,70159398934126040984266349581,264327010184131,265426521811951,1099511627776,40,1099511627820,0.004151039793555331,FOUND,264327010184131,265426521811951,175.0429831999936,570513950,570513950,570513336.2472453,549755813910,264876195484091,264876765998041
48,48,96,50838484418669123795682698773,224924825126189,226024336754057,1099511627776,40,1099511627868,0.004876447232060187,FOUND,224924825126189,226024336754057,209.94822620000923,670212808,670212808,670211812.1121941,549755813934,225473910727315,225474580940123
48,48,96,45608030421996051852959045231,213011318947949,214110830575819,1099511627776,40,1099511627870,0.005148481633019634,FOUND,213011318947949,214110830575819,214.035512500006,707600755,707600755,707599583.1457486,549755813935,213560367161129,213561074761884
48,48,96,49534907191609549954839808531,222015312027077,223114823654903,1099511627776,40,1099511627826,0.004940195659443556,FOUND,222015312027077,223114823654903,200.41694870000356,678974285,678974285,678973250.0768542,549755813913,222564388866705,222565067840990
48,48,96,67790227984790007599632022563,259816390634233,260915902262011,1099511627776,40,1099511627778,0.004222953305449,FOUND,259816390634233,260915902262011,176.0055566999945,580397635,580397635,580396989.0628167,549755813889,260365566050487,260366146448122
48,48,96,54997920788033455639231814299,233967243611489,235066755239291,1099511627776,40,1099511627802,0.004688421954821144,FOUND,233967243611489,235066755239291,195.05099810000684,644370921,644370921,644370036.4120167,549755813901,234516355054469,234516999425390
48,48,95,21391203382568317371716636713,145708596474173,146808108101981,1099511627776,40,1099511627808,0.007517652003831916,FOUND,145708596474173,146808108101981,316.1496121999953,1033214574,1033214574,1033210925.027929,549755813904,146257319073503,146258352288077
48,48,96,68610507144483088218383771831,261386895642001,262486407269831,1099511627776,40,1099511627830,0.004197633448422307,FOUND,261386895642001,262486407269831,184.2000504000025,576917712,576917712,576917077.5709671,549755813915,261936074538204,261936651455916
48,48,95,36992644557543502085448330263,191785749980009,192885261607807,1099511627776,40,1099511627798,0.005716657019609272,FOUND,191785749980009,192885261607807,234.3827947999962,785689753,785689753,785688148.6032017,549755813899,192334720104155,192335505793908
48,48,95,32584425455718252947890073389,179962647325523,181062158953343,1099511627776,40,1099511627820,0.006091086860818656,FOUND,179962647325523,181062158953343,243.58509839999897,837150662,837150662,837148721.2831415,549755813910,180511565988771,180512403139433
